tsv	Biosample.term.name	ID
ENCFF298MLY.tsv	thoracic aorta endothelial cell	ENCFF298MLY
ENCFF736RHN.tsv	smooth muscle cell of bladder	ENCFF736RHN
ENCFF970GMU.tsv	bladder microvascular endothelial cell	ENCFF970GMU
ENCFF570HNK.tsv	melanocyte of skin	ENCFF570HNK
ENCFF516WWE.tsv	urinary bladder	ENCFF516WWE
ENCFF326EAR.tsv	uterus	ENCFF326EAR
ENCFF171FQU.tsv	K562	ENCFF171FQU
ENCFF508KLW.tsv	parietal lobe	ENCFF508KLW
ENCFF733XOH.tsv	renal cortical epithelial cell	ENCFF733XOH
ENCFF607LUW.tsv	stomach	ENCFF607LUW
ENCFF240WBI.tsv	GM12878	ENCFF240WBI
ENCFF658UGF.tsv	diencephalon	ENCFF658UGF
ENCFF617KGY.tsv	placental epithelial cell	ENCFF617KGY
ENCFF362RMV.tsv	GM12878	ENCFF362RMV
ENCFF931XZE.tsv	frontal cortex	ENCFF931XZE
ENCFF476TED.tsv	dermis blood vessel endothelial cell	ENCFF476TED
ENCFF421HFS.tsv	mesenchymal stem cell of Wharton's jelly	ENCFF421HFS
ENCFF506QCN.tsv	lung microvascular endothelial cell	ENCFF506QCN
ENCFF549QYX.tsv	heart	ENCFF549QYX
ENCFF427ATU.tsv	endometrial microvascular endothelial cells	ENCFF427ATU
ENCFF235JKT.tsv	pulmonary artery endothelial cell	ENCFF235JKT
ENCFF624CGV.tsv	placental pericyte	ENCFF624CGV
ENCFF798WGM.tsv	mammary epithelial cell	ENCFF798WGM
ENCFF900TJU.tsv	mononuclear cell	ENCFF900TJU
ENCFF648ISY.tsv	vein endothelial cell	ENCFF648ISY
ENCFF363CQN.tsv	hematopoietic multipotent progenitor cell	ENCFF363CQN
ENCFF186ITS.tsv	naive thymus-derived CD4-positive, alpha-beta T cell	ENCFF186ITS
ENCFF712ADS.tsv	mammary microvascular endothelial cell	ENCFF712ADS
ENCFF677IBW.tsv	CD8-positive, alpha-beta T cell	ENCFF677IBW
ENCFF856QGB.tsv	activated CD8-positive, alpha-beta memory T cell	ENCFF856QGB
ENCFF760SNF.tsv	stimulated activated CD8-positive, alpha-beta T cell	ENCFF760SNF
ENCFF554FCJ.tsv	activated CD8-positive, alpha-beta T cell	ENCFF554FCJ
ENCFF188GCO.tsv	naive thymus-derived CD8-positive, alpha-beta T cell	ENCFF188GCO
ENCFF220VSM.tsv	osteoblast	ENCFF220VSM
ENCFF173MKF.tsv	skeletal muscle satellite cell	ENCFF173MKF
