gene_id	gene_name	gene_type	chr	start	end
ENSG00000188290.10	HES4	protein_coding	chr1	998962	1000172
ENSG00000157933.9	SKI	protein_coding	chr1	2228695	2310119
ENSG00000197921.5	HES5	protein_coding	chr1	2528745	2530245
ENSG00000142611.16	PRDM16	protein_coding	chr1	3069168	3438621
ENSG00000078900.14	TP73	protein_coding	chr1	3652520	3736201
ENSG00000173673.7	HES3	protein_coding	chr1	6244192	6245578
ENSG00000069812.11	HES2	protein_coding	chr1	6412418	6424670
ENSG00000204859.12	ZBTB48	protein_coding	chr1	6580001	6589280
ENSG00000041988.15	THAP3	protein_coding	chr1	6624866	6635586
ENSG00000171735.18	CAMTA1	protein_coding	chr1	6785324	7769706
ENSG00000175279.21	CENPS	protein_coding	chr1	10430443	10442809
ENSG00000130940.14	CASZ1	protein_coding	chr1	10636604	10796650
ENSG00000116731.22	PRDM2	protein_coding	chr1	13700198	13825079
ENSG00000065526.10	SPEN	protein_coding	chr1	15847864	15940460
ENSG00000116809.11	ZBTB17	protein_coding	chr1	15941869	15976132
ENSG00000009709.11	PAX7	protein_coding	chr1	18631006	18748866
ENSG00000184677.17	ZBTB40	protein_coding	chr1	22428838	22531157
ENSG00000125945.14	ZNF436	protein_coding	chr1	23359448	23369442
ENSG00000007968.6	E2F2	protein_coding	chr1	23506430	23531220
ENSG00000158055.15	GRHL3	protein_coding	chr1	24319322	24364482
ENSG00000020633.18	RUNX3	protein_coding	chr1	24899511	24965121
ENSG00000176083.17	ZNF683	protein_coding	chr1	26361634	26374522
ENSG00000131914.10	LIN28A	protein_coding	chr1	26410778	26429722
ENSG00000126705.14	AHDC1	protein_coding	chr1	27534035	27604431
ENSG00000162419.12	GMEB1	protein_coding	chr1	28668732	28719353
ENSG00000273274.1	ZBTB8B	protein_coding	chr1	32465069	32496686
ENSG00000160062.14	ZBTB8A	protein_coding	chr1	32539427	32605939
ENSG00000160094.14	ZNF362	protein_coding	chr1	33256545	33300719
ENSG00000121903.14	ZSCAN20	protein_coding	chr1	33472645	33496507
ENSG00000116819.7	TFAP2E	protein_coding	chr1	35573370	35595328
ENSG00000188786.9	MTF1	protein_coding	chr1	37809567	37859620
ENSG00000185668.7	POU3F1	protein_coding	chr1	38044611	38046794
ENSG00000163909.7	HEYL	protein_coding	chr1	39624153	39639945
ENSG00000116990.10	MYCL	protein_coding	chr1	39895426	39902256
ENSG00000117000.8	RLF	protein_coding	chr1	40161373	40240921
ENSG00000187801.14	ZFP69B	protein_coding	chr1	40450102	40463718
ENSG00000187815.9	ZFP69	protein_coding	chr1	40477215	40496343
ENSG00000117010.16	ZNF684	protein_coding	chr1	40531561	40548169
ENSG00000066136.20	NFYC	protein_coding	chr1	40691648	40771603
ENSG00000010803.16	SCMH1	protein_coding	chr1	41027200	41242154
ENSG00000204060.7	FOXO6	protein_coding	chr1	41361922	41383590
ENSG00000127124.15	HIVEP3	protein_coding	chr1	41506365	42035925
ENSG00000198815.8	FOXJ3	protein_coding	chr1	42176539	42335877
ENSG00000065978.18	YBX1	protein_coding	chr1	42682427	42702349
ENSG00000164011.17	ZNF691	protein_coding	chr1	42846573	42852477
ENSG00000171872.4	KLF17	protein_coding	chr1	44118850	44135140
ENSG00000159588.14	CCDC17	protein_coding	chr1	45620044	45624057
ENSG00000159592.10	GPBP1L1	protein_coding	chr1	45627304	45688113
ENSG00000197587.10	DMBX1	protein_coding	chr1	46506996	46514226
ENSG00000162367.11	TAL1	protein_coding	chr1	47216290	47232220
ENSG00000186790.5	FOXE3	protein_coding	chr1	47416072	47418052
ENSG00000186564.5	FOXD2	protein_coding	chr1	47436017	47440691
ENSG00000142700.11	DMRTA2	protein_coding	chr1	50417550	50423500
ENSG00000143006.7	DMRTB1	protein_coding	chr1	53459399	53467488
ENSG00000174332.5	GLIS1	protein_coding	chr1	53506237	53738106
ENSG00000162601.9	MYSM1	protein_coding	chr1	58654739	58700092
ENSG00000177606.6	JUN	protein_coding	chr1	58780788	58784327
ENSG00000162599.15	NFIA	protein_coding	chr1	60865259	61462793
ENSG00000187140.5	FOXD3	protein_coding	chr1	63323041	63325126
ENSG00000162624.14	LHX8	protein_coding	chr1	75128434	75161533
ENSG00000036549.12	AC118549.1	protein_coding	chr1	77562416	77683419
ENSG00000137947.11	GTF2B	protein_coding	chr1	88852932	88891944
ENSG00000162664.16	ZNF326	protein_coding	chr1	89995112	90035531
ENSG00000143032.7	BARHL2	protein_coding	chr1	90711539	90717237
ENSG00000122482.20	ZNF644	protein_coding	chr1	90915298	91022272
ENSG00000162676.11	GFI1	protein_coding	chr1	92474762	92486876
ENSG00000143033.17	MTF2	protein_coding	chr1	93079235	93139081
ENSG00000117505.12	DR1	protein_coding	chr1	93345888	93369498
ENSG00000156150.7	ALX3	protein_coding	chr1	110059994	110070700
ENSG00000177551.5	NHLH2	protein_coding	chr1	115836377	115843917
ENSG00000092607.14	TBX15	protein_coding	chr1	118883046	118989556
ENSG00000143067.4	ZNF697	protein_coding	chr1	119619422	119647773
